Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,1572.4,1575.96,1482.32,1497.05,6793279.0,0.0,1.0,1572.4,1575.96,1482.32,1497.05,6793279.0
2018-03-26,1530.0,1556.99,1499.25,1555.86,5547618.0,0.0,1.0,1530.0,1556.99,1499.25,1555.86,5547618.0
2018-03-23,1539.01,1549.02,1495.36,1495.56,7843966.0,0.0,1.0,1539.01,1549.02,1495.36,1495.56,7843966.0
2018-03-22,1565.47,1573.85,1542.4,1544.1,6177737.0,0.0,1.0,1565.47,1573.85,1542.4,1544.1,6177737.0
2018-03-21,1586.45,1590.0,1563.17,1581.86,4667291.0,0.0,1.0,1586.45,1590.0,1563.17,1581.86,4667291.0
2018-03-20,1550.34,1587.0,1545.41,1586.51,4507049.0,0.0,1.0,1550.34,1587.0,1545.41,1586.51,4507049.0
2018-03-19,1554.53,1561.66,1525.35,1544.93,6376619.0,0.0,1.0,1554.53,1561.66,1525.35,1544.93,6376619.0
2018-03-16,1583.45,1589.44,1567.5,1571.68,5145054.0,0.0,1.0,1583.45,1589.44,1567.5,1571.68,5145054.0
2018-03-15,1595.0,1596.91,1578.11,1582.32,4026744.0,0.0,1.0,1595.0,1596.91,1578.11,1582.32,4026744.0
2018-03-14,1597.0,1606.44,1590.89,1591.0,4164395.0,0.0,1.0,1597.0,1606.44,1590.89,1591.0,4164395.0
2018-03-13,1615.96,1617.54,1578.01,1588.18,6427066.0,0.0,1.0,1615.96,1617.54,1578.01,1588.18,6427066.0
2018-03-12,1592.6,1605.33,1586.7,1598.39,5115886.0,0.0,1.0,1592.6,1605.33,1586.7,1598.39,5115886.0
2018-03-09,1563.5,1578.94,1559.08,1578.89,4417059.0,0.0,1.0,1563.5,1578.94,1559.08,1578.89,4417059.0
2018-03-08,1550.0,1554.88,1545.25,1551.86,3512528.0,0.0,1.0,1550.0,1554.88,1545.25,1551.86,3512528.0
2018-03-07,1526.52,1545.9,1522.51,1545.0,4174123.0,0.0,1.0,1526.52,1545.9,1522.51,1545.0,4174123.0
2018-03-06,1533.2,1542.13,1528.0,1537.64,4561718.0,0.0,1.0,1533.2,1542.13,1528.0,1537.64,4561718.0
2018-03-05,1494.24,1525.38,1481.0,1523.61,5233934.0,0.0,1.0,1494.24,1525.38,1481.0,1523.61,5233934.0
2018-03-02,1469.1,1501.05,1455.01,1500.25,6587564.0,0.0,1.0,1469.1,1501.05,1455.01,1500.25,6587564.0
2018-03-01,1513.6,1518.49,1465.0,1493.45,6835230.0,0.0,1.0,1513.6,1518.49,1465.0,1493.45,6835230.0
2018-02-28,1519.51,1528.7,1512.0,1512.45,4426580.0,0.0,1.0,1519.51,1528.7,1512.0,1512.45,4426580.0
2018-02-27,1524.5,1526.78,1507.21,1511.98,4708378.0,0.0,1.0,1524.5,1526.78,1507.21,1511.98,4708378.0
2018-02-26,1509.2,1522.84,1507.0,1521.95,4909053.0,0.0,1.0,1509.2,1522.84,1507.0,1521.95,4909053.0
2018-02-23,1495.34,1500.0,1486.5,1500.0,4327008.0,0.0,1.0,1495.34,1500.0,1486.5,1500.0,4327008.0
2018-02-22,1495.36,1502.54,1475.76,1484.76,4732555.0,0.0,1.0,1495.36,1502.54,1475.76,1484.76,4732555.0
2018-02-21,1485.0,1503.49,1478.92,1482.92,6216694.0,0.0,1.0,1485.0,1503.49,1478.92,1482.92,6216694.0
2018-02-20,1446.49,1488.77,1446.49,1468.35,6388374.0,0.0,1.0,1446.49,1488.77,1446.49,1468.35,6388374.0
2018-02-16,1457.37,1465.8,1446.56,1448.69,4410879.0,0.0,1.0,1457.37,1465.8,1446.56,1448.69,4410879.0
2018-02-15,1466.89,1468.94,1436.84,1461.76,5598111.0,0.0,1.0,1466.89,1468.94,1436.84,1461.76,5598111.0
2018-02-14,1406.25,1452.06,1403.36,1451.05,5881238.0,0.0,1.0,1406.25,1452.06,1403.36,1451.05,5881238.0
2018-02-13,1385.93,1419.72,1383.53,1414.51,5858860.0,0.0,1.0,1385.93,1419.72,1383.53,1414.51,5858860.0
2018-02-12,1364.67,1393.81,1344.01,1386.23,6682214.0,0.0,1.0,1364.67,1393.81,1344.01,1386.23,6682214.0
2018-02-09,1373.49,1383.5,1265.93,1338.99,13787886.0,0.0,1.0,1373.49,1383.5,1265.93,1338.99,13787886.0
2018-02-08,1429.67,1433.75,1349.94,1350.47,8108560.0,0.0,1.0,1429.67,1433.75,1349.94,1350.47,8108560.0
2018-02-07,1449.0,1460.99,1415.15,1416.78,7066828.0,0.0,1.0,1449.0,1460.99,1415.15,1416.78,7066828.0
2018-02-06,1361.46,1443.99,1351.79,1442.84,10773963.0,0.0,1.0,1361.46,1443.99,1351.79,1442.84,10773963.0
2018-02-05,1402.62,1458.98,1320.72,1396.62,10756332.0,0.0,1.0,1402.62,1458.98,1320.72,1396.62,10756332.0
2018-02-02,1477.39,1498.0,1414.0,1431.0,10915962.0,0.0,1.0,1477.39,1498.0,1414.0,1431.0,10915962.0
2018-02-01,1445.0,1459.88,1385.14,1390.0,7812953.0,0.0,1.0,1445.0,1459.88,1385.14,1390.0,7812953.0
2018-01-31,1451.3,1472.58,1450.04,1451.65,6220396.0,0.0,1.0,1451.3,1472.58,1450.04,1451.65,6220396.0
2018-01-30,1403.17,1439.25,1392.0,1437.82,5736512.0,0.0,1.0,1403.17,1439.25,1392.0,1437.82,5736512.0
2018-01-29,1409.18,1431.39,1400.44,1417.68,5628992.0,0.0,1.0,1409.18,1431.39,1400.44,1417.68,5628992.0
2018-01-26,1392.01,1402.53,1380.91,1402.05,4584082.0,0.0,1.0,1392.01,1402.53,1380.91,1402.05,4584082.0
2018-01-25,1368.0,1378.34,1357.62,1377.95,4621862.0,0.0,1.0,1368.0,1378.34,1357.62,1377.95,4621862.0
2018-01-24,1374.82,1388.16,1338.0,1357.51,6730084.0,0.0,1.0,1374.82,1388.16,1338.0,1357.51,6730084.0
2018-01-23,1338.09,1364.9,1337.34,1362.54,5056764.0,0.0,1.0,1338.09,1364.9,1337.34,1362.54,5056764.0
2018-01-22,1297.17,1327.45,1296.66,1327.31,3970151.0,0.0,1.0,1297.17,1327.45,1296.66,1327.31,3970151.0
2018-01-19,1312.0,1313.0,1292.99,1294.58,4395070.0,0.0,1.0,1312.0,1313.0,1292.99,1294.58,4395070.0
2018-01-18,1293.95,1304.6,1284.02,1293.32,3941007.0,0.0,1.0,1293.95,1304.6,1284.02,1293.32,3941007.0
2018-01-17,1312.24,1314.0,1280.88,1295.0,5166748.0,0.0,1.0,1312.24,1314.0,1280.88,1295.0,5166748.0
2018-01-16,1323.0,1339.94,1292.3,1304.86,7111172.0,0.0,1.0,1323.0,1339.94,1292.3,1304.86,7111172.0
2018-01-12,1273.39,1305.76,1273.39,1305.2,5360681.0,0.0,1.0,1273.39,1305.76,1273.39,1305.2,5360681.0
2018-01-11,1259.74,1276.77,1256.46,1276.68,3075315.0,0.0,1.0,1259.74,1276.77,1256.46,1276.68,3075315.0
2018-01-10,1245.15,1254.33,1237.23,1254.33,2659507.0,0.0,1.0,1245.15,1254.33,1237.23,1254.33,2659507.0
2018-01-09,1256.9,1259.33,1241.76,1252.7,3646681.0,0.0,1.0,1256.9,1259.33,1241.76,1252.7,3646681.0
2018-01-08,1236.0,1253.08,1232.03,1246.87,4177533.0,0.0,1.0,1236.0,1253.08,1232.03,1246.87,4177533.0
2018-01-05,1217.51,1229.14,1210.0,1229.14,3430148.0,0.0,1.0,1217.51,1229.14,1210.0,1229.14,3430148.0
2018-01-04,1205.0,1215.87,1204.66,1209.59,3000366.0,0.0,1.0,1205.0,1215.87,1204.66,1209.59,3000366.0
2018-01-03,1188.3,1205.49,1188.3,1204.2,3044664.0,0.0,1.0,1188.3,1205.49,1188.3,1204.2,3044664.0
2018-01-02,1172.0,1190.0,1170.51,1189.01,2587899.0,0.0,1.0,1172.0,1190.0,1170.51,1189.01,2587899.0
2017-12-29,1182.35,1184.0,1167.5,1169.47,2625283.0,0.0,1.0,1182.35,1184.0,1167.5,1169.47,2625283.0
2017-12-28,1189.0,1190.1,1184.38,1186.1,1803460.0,0.0,1.0,1189.0,1190.1,1184.38,1186.1,1803460.0
2017-12-27,1179.91,1187.29,1175.61,1182.26,1779382.0,0.0,1.0,1179.91,1187.29,1175.61,1182.26,1779382.0
2017-12-26,1168.36,1178.32,1160.55,1176.76,1964871.0,0.0,1.0,1168.36,1178.32,1160.55,1176.76,1964871.0
2017-12-22,1172.08,1174.62,1167.83,1168.36,1553997.0,0.0,1.0,1172.08,1174.62,1167.83,1168.36,1553997.0
2017-12-21,1175.9,1179.17,1167.64,1174.76,2042448.0,0.0,1.0,1175.9,1179.17,1167.64,1174.76,2042448.0
2017-12-20,1190.5,1191.0,1176.0,1177.62,2318916.0,0.0,1.0,1190.5,1191.0,1176.0,1177.62,2318916.0
