favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
76896,Twitter for iPhone,"We salute our great American flag, we put our hands on our hearts for the pledge of Allegiance, and we all PROUDLY… https://t.co/BoR8a2Kn29",,False,Fri Feb 23 17:08:42 +0000 2018,18188,967083810981597185
104850,Twitter for iPhone,Congratulations to @ABC News for suspending Brian Ross for his horrendously inaccurate and dishonest report on the… https://t.co/wEVP4iGN6n,,False,Sun Dec 03 02:22:40 +0000 2017,26533,937145025359761408
50787,Twitter for iPhone,"""Consumer Comfort Reaches 16-Year High on U.S. Economic Optimism"" via Bloomberg https://t.co/X6KdszrxsS",,False,Fri Aug 11 20:42:45 +0000 2017,11514,896109655574708224
50762,Twitter for iPhone,Attorney General Bill Schuette will be a fantastic Governor for the great State of Michigan. I am bringing back your jobs and Bill will help,,False,Sun Sep 17 11:40:16 +0000 2017,9208,909381488445190145
91261,Twitter for iPhone,"The Democrats, without a leader, have become the party of obstruction.They are only interested in themselves and not in what's best for U.S.",,False,Sun Apr 30 12:09:04 +0000 2017,23393,858654431956672512
58686,Twitter for iPhone,"Am in Bedminster for meetings &amp; press conference on V.A. &amp; all that we have done, and are doing, to make it better-but Charlottesville sad!",,False,Sat Aug 12 18:00:28 +0000 2017,10957,896431205549318144
111098,Twitter for iPhone,....and Japan will put up with this much longer. Perhaps China will put a heavy move on North Korea and end this nonsense once and for all!,,False,Tue Jul 04 02:24:39 +0000 2017,28747,882062572081512449
75756,Twitter for iPhone,"With ZERO Democrats to help, and a failed, expensive and dangerous ObamaCare as the Dems legacy, the Republican Senators are working hard!",,False,Tue Jun 27 22:22:55 +0000 2017,14885,879827411008974852
44546,Twitter for iPad,"People are anxiously awaiting my decision as to who the next head of the Fed will be....
🎥https://t.co/PEj1KNYcAO",,False,Fri Oct 27 21:17:31 +0000 2017,8647,924022268929433600
66859,Twitter for iPhone,"The reason Flake and Corker dropped out of the Senate race is very simple, they had zero chance of being elected. Now act so hurt &amp; wounded!",,False,Wed Oct 25 11:27:36 +0000 2017,15032,923149037523566592
68002,Twitter for iPhone,"Amazon is doing great damage to tax paying retailers. Towns, cities and states throughout the U.S. are being hurt - many jobs being lost!",,False,Wed Aug 16 10:12:45 +0000 2017,17529,897763049226084352
158190,Twitter for iPhone,Please to inform that the Champion Pittsburgh Penguins of the NHL will be joining me at the White House for Ceremony. Great team!,,False,Sun Sep 24 18:24:36 +0000 2017,32364,912019957243883520
148143,Twitter for iPhone,I am being investigated for firing the FBI Director by the man who told me to fire the FBI Director! Witch Hunt,,False,Fri Jun 16 13:07:55 +0000 2017,46873,875701471999864833
82863,Twitter for iPhone,The Democrat memo response on government surveillance abuses is a total political and legal BUST. Just confirms all… https://t.co/7xFWbPQ5Xh,,False,Sat Feb 24 23:16:13 +0000 2018,20706,967538684789739520
88794,Twitter for iPhone,"Our relationship with Russia is at an all-time &amp; very dangerous  low. You can thank Congress, the same people that can't even give us HCare!",,False,Thu Aug 03 12:18:49 +0000 2017,27913,893083735633129472
118861,Twitter for iPhone,"Wow, CNN had to retract big story on ""Russia,"" with 3 employees forced to resign. What about all the other phony stories they do? FAKE NEWS!",,False,Tue Jun 27 10:33:42 +0000 2017,32393,879648931172556802
112062,Twitter for iPhone,Unemployment for Black Americans is the lowest ever recorded. Trump approval ratings with Black Americans has doubl… https://t.co/T5tmchLiz8,,False,Tue Jan 16 14:30:00 +0000 2018,27668,953273134655987716
91985,Twitter for iPhone,"One by one we are keeping our promises - on the border, on energy, on jobs, on regulations. Big changes are happening!",,False,Wed Apr 12 23:10:37 +0000 2017,17074,852297935219982336
100059,Twitter for iPhone,"With Mexico being one of the highest crime Nations in the world, we must have THE WALL. Mexico will pay for it through reimbursement/other.",,False,Sun Aug 27 13:44:11 +0000 2017,25774,901802524981817344
103275,Twitter for iPhone,"Sorry folks, but if I would have relied on the Fake News of CNN, NBC, ABC, CBS, washpost or nytimes, I would have had ZERO chance winning WH",,False,Tue Jun 06 12:15:36 +0000 2017,25188,872064426568036353
66378,Twitter for iPhone,"...money to Bill, the Hillary Russian ""reset,"" praise of Russia by Hillary, or Podesta Russian Company. Trump Russia story is a hoax. #MAGA!",,False,Tue Mar 28 01:35:35 +0000 2017,18343,846536212362018816
132878,Twitter for iPhone,I have determined that it is time to officially recognize Jerusalem as the capital of Israel. I am also directing t… https://t.co/yG26qYMx0L,,False,Wed Dec 06 21:14:41 +0000 2017,38492,938517073508163584
94807,Twitter for iPhone,Loser terrorists must be dealt with in a much tougher manner.The internet is their main recruitment tool which we must cut off &amp; use better!,,False,Fri Sep 15 10:48:18 +0000 2017,20309,908643633901039617
58957,Twitter for iPhone,"Ask Sally Yates, under oath, if she knows how classified information got into the newspapers soon after she explained it to W.H. Counsel.",,False,Mon May 08 14:43:35 +0000 2017,17066,861592420043157504
69252,Twitter for iPhone,Big vote tomorrow in the House. Tax cuts are getting close!,,False,Thu Nov 16 02:14:35 +0000 2017,11668,930982399202217984
123193,Twitter for iPhone,"The U.S. Coast Guard, FEMA and all Federal and State brave people are ready. Here comes Irma. God bless everyone!",,False,Sun Sep 10 02:56:37 +0000 2017,24046,906712991940399104
87158,Twitter for iPhone,Thank you to our great Police Chiefs &amp; Sheriffs for your leadership &amp; service. You have a true friend in the… https://t.co/Lysnv8ZR1h,,False,Wed Feb 08 15:23:29 +0000 2017,15589,829349943613734912
110046,Twitter for iPhone,I will be going to Texas as soon as that trip can be made without causing disruption. The focus must be life and safety.,,False,Sun Aug 27 12:59:56 +0000 2017,22090,901791391130554370
64808,Twitter for iPhone,"The Governor of Puerto Rico, Ricardo Rossello, is a great guy and leader who is really working hard. Thank you Ricky!",,False,Sat Sep 30 19:19:36 +0000 2017,13561,914208123564494850
51597,Twitter Web Client,Anyone who doubts the strength or determination of the U.S. should look to our past....and you will doubt it no lon… https://t.co/n1Dc7xNmcg,,False,Wed Nov 08 03:14:34 +0000 2017,12006,928098389966942208
140194,Twitter for Android,"The threat from radical Islamic terrorism is very real, just look at what is happening in Europe and the Middle-East. Courts must act fast!",,False,Tue Feb 07 02:49:28 +0000 2017,31099,828797801630937089
43530,Twitter for iPhone,I want to help our miners while the Democrats are blocking their healthcare.,,False,Thu Apr 27 14:37:09 +0000 2017,9328,857604537003200512
51766,Twitter for iPhone,"Weekly Address
Join me here: https://t.co/SEavQK5zy5 https://t.co/EnyXYeqgcp",,False,Fri Mar 03 16:41:55 +0000 2017,9758,837704599704375296
95413,Twitter for Android,Looking forward to the Florida rally tomorrow. Big crowd expected!,,False,Sat Feb 18 00:02:58 +0000 2017,13587,832742165436579840
181757,Twitter for iPhone,"I don't know Putin, have no deals in Russia, and the haters are going crazy - yet Obama can make a deal with Iran, #1 in terror, no problem!",,False,Tue Feb 07 12:11:29 +0000 2017,48611,828939235499638784
80968,Twitter for iPhone,Donna Brazile just stated the DNC RIGGED the system to illegally steal the Primary from Bernie Sanders. Bought and paid for by Crooked H....,,False,Fri Nov 03 00:39:57 +0000 2017,23497,926247543801044993
61528,Twitter for iPhone,'16 Fake News Stories Reporters Have Run Since Trump Won' https://t.co/0dHld5kiVc,,False,Wed Feb 08 15:54:01 +0000 2017,18295,829357626798530561
96679,Twitter for iPhone,Democrat Congresswoman totally fabricated what I said to the wife of a soldier who died in action (and I have proof). Sad!,,False,Wed Oct 18 11:25:24 +0000 2017,24348,920611770775064576
105367,Twitter for iPad,"Playing golf with Prime Minister Abe and Hideki Matsuyama, two wonderful people! https://t.co/vYLULe0o2K",,False,Sun Nov 05 06:25:16 +0000 2017,22651,927059219370643456
42681,Media Studio,The current tax code is a burden on American taxpayers &amp; harmful to job-creators. Americans need #TaxReform! More:… https://t.co/Q4Lqttenhi,,False,Wed Oct 18 15:07:07 +0000 2017,10223,920667567030710272
67269,Twitter for iPhone,"The Fake News is at it again, this time trying to hurt one of the finest people I know, General John Kelly, by saying he will soon be.....",,False,Wed Oct 11 01:15:26 +0000 2017,15237,917921548677328896
60608,Twitter for iPhone,"The military and first responders, despite no electric, roads, phones etc., have done an amazing job. Puerto Rico was totally destroyed.",,False,Sat Sep 30 11:33:59 +0000 2017,13194,914090947180470272
103723,Media Studio,The Democrats are not doing what’s right for our country. I will not rest until we have secured our borders and res… https://t.co/Sa3HNQ2G35,,False,Mon Apr 09 19:17:39 +0000 2018,26935,983423715332558848
48016,Twitter for iPhone,"FLORIDA- 
Visit https://t.co/pdBaD9t8SK to find shelters, road closures, &amp; evacuation routes. Helpful Twitter list:… https://t.co/SdWHXtLHXl",,False,Sat Sep 09 15:41:55 +0000 2017,15726,906543198599876608
102912,Twitter for iPhone,It is about time that Roger Goodell of the NFL is finally demanding that all players STAND for our great National Anthem-RESPECT OUR COUNTRY,,False,Wed Oct 11 10:47:10 +0000 2017,19717,918065431939829760
45148,Twitter for iPhone,.@FoxNews Chris Wallace: “More evidence of Dem collusion with Russia than GOP” https://t.co/nACQerJSiu,,False,Fri Oct 27 20:33:50 +0000 2017,13098,924011278804357120
82703,Twitter for iPhone,E-mails show that the AmazonWashingtonPost and the FailingNewYorkTimes were reluctant to cover the Clinton/Lynch secret meeting in plane.,,False,Tue Aug 08 18:00:30 +0000 2017,23050,894981661926068228
88032,Twitter for iPhone,"Ratings for NFL football are way down except before game starts, when people tune in to see whether or not our country will be disrespected!",,False,Tue Sep 26 10:28:24 +0000 2017,17761,912624892239077376
66755,Media Studio,"We need a tax system that is FAIR to working FAMILIES &amp; that encourages companies to STAY in AMERICA, GROW in AMERI… https://t.co/JshQ8cLMS3",,False,Thu Oct 12 18:17:40 +0000 2017,15134,918541193037967361
106482,Twitter for iPhone,The trip by @VP Pence was long planned. He is receiving great praise for leaving game after the players showed such disrespect for country!,,False,Mon Oct 09 11:05:13 +0000 2017,20046,917345200414035969
35357,Twitter for iPhone,"Remarks at the United States Holocaust Memorial Museum's National Days of Remembrance. 
Full remarks:… https://t.co/BJbI6ZtGo7",,False,Tue Apr 25 17:51:03 +0000 2017,7206,856928555179143168
167348,Twitter for Android,There is nothing nice about searching for terrorists before they can enter our country. This was a big part of my campaign. Study the world!,,False,Mon Jan 30 12:27:05 +0000 2017,33658,826044059647107073
117113,Twitter for iPhone,We finally agree on something Rosie. https://t.co/BSP5F3PgbZ,,False,Thu May 11 19:55:34 +0000 2017,39215,862758098892619780
92208,Twitter for iPhone,Great Army - Navy Game. Army wins 14 to 13 and brings home the COMMANDER-IN-CHIEF’S TROPHY! Congratulations!,,False,Sat Dec 09 23:47:55 +0000 2017,14852,939642796289470464
53679,Twitter for iPhone,Karen Handel's opponent in #GA06 can't even vote in the district he wants to represent....,,False,Mon Jun 19 20:34:11 +0000 2017,16025,876900944444837890
143231,Twitter for iPhone,"The forgotten men and women of our country will be forgotten no longer. From this moment on, it’s going to be #AmericaFirst🇺🇸",,False,Fri Jan 20 17:54:00 +0000 2017,33516,822502450007515137
66569,Twitter for iPhone,Statement Regarding Recent Executive Order Concerning Extreme Vetting: https://t.co/f6JO60I0Ul,,False,Sun Jan 29 23:28:50 +0000 2017,16238,825848204633731074
56113,Twitter for iPhone,"Thank you Arizona. Beautiful turnout of 15,000 in Phoenix tonight! Full coverage of rally via my Facebook at:… https://t.co/BvbP9MkZPJ",,False,Wed Aug 23 05:18:29 +0000 2017,12640,900225712522657792
42977,Twitter for iPhone,"Alabama is sooo lucky to have a candidate like ""Big"" Luther Strange. Smart, tough on crime, borders &amp; trade, loves Vets &amp; Military. Tuesday!",,False,Wed Sep 20 22:42:35 +0000 2017,7214,910635327672512512
67561,Twitter for iPhone,The #USSJohnFinn will provide essential capabilities to keep America safe. Our sailors are the best anywhere in the… https://t.co/Q6xnJUJakd,,False,Sun Jul 16 17:16:32 +0000 2017,14582,886635676787232768
116348,Twitter for iPhone,All civilized nations must join together to protect human life and the sacred right of our citizens to live in safety and in peace.,,False,Tue May 23 15:58:37 +0000 2017,28731,867047119974170625
65574,Twitter for iPhone,First the Ninth Circuit rules against the ban &amp; now it hits again on sanctuary cities-both ridiculous rulings. See you in the Supreme Court!,,False,Wed Apr 26 10:20:00 +0000 2017,17044,857177434210304001
91042,Media Studio,"Because of #FakeNews my people are not getting the credit they deserve for doing a great job. As seen here, they ar… https://t.co/11L5rePtWp",,False,Sat Sep 30 22:46:47 +0000 2017,31047,914260261304860672
105997,Twitter for iPhone,A photo delivered yesterday that will be displayed in the upper/lower press hall. Thank you Abbas! https://t.co/Uzp0ivvRp0,,False,Tue Jan 24 16:58:06 +0000 2017,20210,823937936056008704
123921,Twitter for iPhone,Big wins against ISIS!,,False,Tue Jul 11 12:23:45 +0000 2017,27468,884750055776948225
135003,Twitter for iPhone,Only the Fake News Media and Trump enemies want me to stop using Social Media (110 million people). Only way for me to get the truth out!,,False,Tue Aug 01 13:55:19 +0000 2017,32261,892383242535481344
100292,Twitter for iPhone,"Will be calling the President of Egypt in a short while to discuss the tragic terrorist attack, with so much loss o… https://t.co/dG2jNyaok9",,False,Fri Nov 24 18:49:12 +0000 2017,20178,934131805409697792
174075,Twitter for iPhone,"I have offered DACA a wonderful deal, including a doubling in the number of recipients &amp; a twelve year pathway to c… https://t.co/gSxSjiRcoC",,False,Sun Jan 28 03:58:02 +0000 2018,46229,957462746060206080
111473,Twitter for iPhone,"On behalf of the American people, THANK YOU to our incredible law enforcement officers. As President of the United… https://t.co/280ORusJ3N",,False,Tue Jan 09 17:11:23 +0000 2018,26384,950777029816963072
84420,Twitter for iPhone,"The Al Frankenstien picture is really bad, speaks a thousand words. Where do his hands go in pictures 2, 3, 4, 5 &amp; 6 while she sleeps? .....",,False,Fri Nov 17 03:06:34 +0000 2017,22676,931357870024687616
125362,Twitter for Android,"I will be asking for a major investigation into VOTER FRAUD, including those registered to vote in two states, those who are illegal and....",,False,Wed Jan 25 12:10:01 +0000 2017,25162,824227824903090176
202760,Twitter for iPhone,#StandForOurAnthem,,False,Mon Sep 25 13:02:27 +0000 2017,71903,912301271817838593
109314,Twitter for iPhone,"Thank you for a wonderful evening in Washington, D.C. #Inauguration https://t.co/a6xpFQTHj5",,False,Fri Jan 20 04:24:33 +0000 2017,20051,822298747421986828
33454,Twitter for iPhone,Thank you to our wonderful team @USUN and their families. Keep up the GREAT work! #USA🇺🇸 https://t.co/s7KhlSMEqY,,False,Tue Sep 26 23:46:12 +0000 2017,6169,912825663694016522
49357,Twitter for iPhone,Congratulations to @PGA_JohnDaly on his big win yesterday. John is a great guy who never gave up - and now a winner again!,,False,Mon May 08 11:32:24 +0000 2017,10037,861544307043467264
79670,Twitter for iPhone,"'Majority in Leading EU Nations Support Trump-Style Travel Ban' 
Poll of more than 10,000 people in 10 countries...https://t.co/KWsIWhtC9o",,False,Wed Feb 08 21:46:14 +0000 2017,20978,829446266111287305
94956,Twitter for iPhone,The Wall Street Journal stated falsely that I said to them “I have a good relationship with Kim Jong Un” (of N. Kor… https://t.co/ZvyN9rhbFn,,False,Sun Jan 14 12:58:43 +0000 2018,22096,952525384242876416
162501,Twitter for iPhone,"A big salute to Jerry Jones, owner of the Dallas Cowboys, who will BENCH players who disrespect our Flag.""Stand for Anthem or sit for game!""",,False,Tue Oct 10 01:51:32 +0000 2017,33394,917568245854605313
79502,Twitter for iPhone,"The people of Alabama will do the right thing. Doug Jones is Pro-Abortion, weak on Crime, Military and Illegal Immi… https://t.co/yv1IbXRYEj",,False,Tue Dec 12 14:09:26 +0000 2017,20696,940584383605563392
121427,Twitter for Android,The spotlight has finally been put on the low-life leakers! They will be caught!,,False,Thu Feb 16 12:02:59 +0000 2017,24269,832198588201594880
118208,Twitter for iPhone,"Senator Mitch McConnell said I had ""excessive expectations,"" but I don't think so. After 7 years of hearing Repeal &amp; Replace, why not done?",,False,Wed Aug 09 18:14:50 +0000 2017,30375,895347654431035393
61776,Twitter for iPhone,"Alaska, Arizona, Maine and Kentucky are big winners in the Healthcare proposal. 7 years of Repeal &amp; Replace and some Senators not there.",,False,Sun Sep 24 22:21:43 +0000 2017,12108,912079629648883712
38757,Media Studio,It was an honor to welcome President @MarianoraJoy of Spain. Thank you for standing w/ us in our efforts to isolate… https://t.co/U4tIOTSjYe,,False,Tue Sep 26 22:43:24 +0000 2017,8286,912809860965613568
83124,Twitter for iPhone,Russian officials must be laughing at the U.S. &amp; how a lame excuse for why the Dems lost the election has taken over the Fake News.,,False,Tue May 30 11:04:48 +0000 2017,20874,869509894688387072
88992,Twitter for iPhone,"Polling shows nearly 7 in 10 Americans support an immigration reform package that includes DACA, fully secures the… https://t.co/OD93mZebu7",,False,Tue Feb 06 16:00:43 +0000 2018,23379,960906105982464000
90068,Twitter for iPhone,"I hope the Fake News Media keeps talking about Wacky Congresswoman Wilson in that she, as a representative, is killing the Democrat Party!",,False,Sat Oct 21 12:07:16 +0000 2017,19474,921709468055896064
69410,Twitter for iPhone,"After years of rebuilding OTHER nations, we are finally rebuilding OUR nation - and we are restoring our confidence… https://t.co/LXqvjEMR5D",,False,Fri Feb 23 17:06:36 +0000 2018,15934,967083281974951939
51587,Twitter for iPhone,.@FLOTUS Melania and I were honored to welcome Argentina President @MauricioMacri and First Lady Juliana Awada to t… https://t.co/gR3EPznu1H,,False,Thu Apr 27 18:59:31 +0000 2017,11544,857670562478518273
82849,Twitter for iPhone,...There is also something appropriate about keeping him in the home of the horrible crime he committed. Should move fast. DEATH PENALTY!,,False,Thu Nov 02 11:54:36 +0000 2017,16606,926054936718307328
43182,Twitter for iPhone,I will be interviewed by @IngrahamAngle on @FoxNews at 10:00. Enjoy!,,False,Fri Nov 03 01:29:54 +0000 2017,7408,926260114146889728
110956,Twitter for iPhone,"Despite some very corrupt and dishonest media coverage, there are many great reporters I respect and lots of GOOD N… https://t.co/XtmYEpRDAu",,False,Thu Jan 18 01:05:46 +0000 2018,22057,953795518592843777
158843,Twitter for iPhone,MAKE AMERICA GREAT AGAIN!,,False,Thu Jan 04 02:13:16 +0000 2018,37238,948739073237311488
66190,Twitter for iPhone,"JOBS, JOBS, JOBS! https://t.co/twUNktGbnb",,False,Fri Nov 03 16:22:11 +0000 2017,15649,926484660946862085
108559,Twitter for iPhone,"Congratulations to Eric &amp; Lara on the birth of their son, Eric ""Luke"" Trump this morning! https://t.co/Aw0AV82XdE",,False,Tue Sep 12 18:41:50 +0000 2017,16248,907675638055743489
116173,Twitter for iPhone,"Yesterday was a big day for the stock market. Jobs are coming back to America. Chrysler is coming back to the USA,… https://t.co/0BKC8RejRA",,False,Sat Jan 13 13:13:12 +0000 2018,23965,952166643202916352
