favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
51367,Twitter for iPhone,".@EdWGillespie will totally turn around the high crime and poor economic performance of VA. MS-13 and crime will be gone. Vote today, ASAP!",,False,Tue Nov 07 10:56:55 +0000 2017,12430,927852358209622016
51804,Twitter for Android,Interview with David Muir of @ABC News in 10 minutes. Enjoy!,,False,Thu Jan 26 02:48:25 +0000 2017,6271,824448880993509376
91081,Twitter for iPhone,"With Irma and Harvey devastation, Tax Cuts and Tax Reform is needed more than ever before. Go Congress, go!",,False,Wed Sep 13 12:36:52 +0000 2017,19248,907946177022369792
87971,Twitter for iPhone,"Was with great people last night in Fort Myer, Virginia. The future of our country is strong!",,False,Tue Aug 22 10:46:29 +0000 2017,14756,899945866991206400
103279,Twitter for iPhone,Our Steel and Aluminum industries (and many others) have been decimated by decades of unfair trade and bad policy w… https://t.co/OEgFJVYtCs,,False,Thu Mar 01 12:12:42 +0000 2018,22492,969183644756660224
56418,Twitter for iPhone,"Texas &amp; Florida are doing great but Puerto Rico, which was already suffering from broken infrastructure &amp; massive debt, is in deep trouble..",,False,Tue Sep 26 00:45:48 +0000 2017,12913,912478274508423168
92189,Twitter for iPhone,"With all of its phony unnamed sources &amp; highly slanted &amp; even fraudulent reporting, #Fake News is DISTORTING DEMOCRACY in our country!",,False,Sun Jul 16 11:15:10 +0000 2017,22765,886544734788997125
122472,Twitter for Android,I have made my decision on who I will nominate for The United States Supreme Court. It will be announced live on Tuesday at 8:00 P.M. (W.H.),,False,Mon Jan 30 13:43:25 +0000 2017,23902,826063267760046080
95522,Twitter for Android,"Going to Charleston, South Carolina, in order to spend time with Boeing and talk jobs! Look forward to it.",,False,Fri Feb 17 11:38:20 +0000 2017,13772,832554772318322688
53536,Twitter for iPhone,Congress must end chain migration so that we can have a system that is SECURITY BASED! We need to make AMERICA SAFE… https://t.co/nxEDGfXlV9,,False,Thu Nov 02 18:43:47 +0000 2017,13138,926157911151214592
109680,Media Studio,"We must remember this truth: No matter our color, creed, religion or political party, we are ALL AMERICANS FIRST. https://t.co/FesMiQSKKn",,False,Sat Aug 12 21:19:23 +0000 2017,32329,896481262776360960
66654,Twitter for iPhone,"The reason Flake and Corker dropped out of the Senate race is very simple, they had zero chance of being elected. Now act so hurt &amp; wounded!",,False,Wed Oct 25 11:27:36 +0000 2017,14921,923149037523566592
85384,Twitter for iPhone,"Congratulations to Roy Moore on his Republican Primary win in Alabama. Luther Strange started way back &amp; ran a good race. Roy, WIN in Dec!",,False,Wed Sep 27 02:17:15 +0000 2017,16847,912863676792786946
62151,Twitter for iPhone,The Democrats ObamaCare is imploding. Massive subsidy payments to their pet insurance companies has stopped. Dems should call me to fix!,,False,Fri Oct 13 09:36:54 +0000 2017,13530,918772522983874561
62353,Twitter for iPhone,"Big win today in the House for GOP Tax Cuts and Reform, 227-205. Zero Dems, they want to raise taxes much higher, but not for our military!",,False,Fri Nov 17 02:57:19 +0000 2017,12334,931355543096233985
61390,Twitter for Android,"""thought it would be hypocritical to attend Bush's swearing-in....he doesn't believe Bush is the true elected president."" Sound familiar! WP",,False,Tue Jan 17 14:52:39 +0000 2017,13344,821369651968012288
